Datetime,Station,WY,WYClass,Inundation,WeatherCode,Tide,MicrocystisVisualRank,WaterTemperature,Secchi,Conductivity,SpCnd,pH,DO,Turbidity,SetTime,FlowMeterSpeed,FlowMeterStart,FlowMeterEnd,Flowdiff,FlowdiffAdj,Volume,VolumeAdj,ConditionCode,FieldComments,LabComments,Category,OrganismID,TaxonRank,TaxonName,LifeStage,Count,CPUE,CPUEAdj,FlagPhys,CommentPhys,FlagSamp,CommentSamp,FlagLab,CommentLab,FlagFM,CommentFM,FlagCPUE,CommentCPUE,QCFlags,QCComments
1998-02-04T10:30:00Z,SHR,1998,W,TRUE,CLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,Regular,294066,341697,47631,47631,146.302759043659,146.302759043659,NA,Extapolated counts to 30 minutes ~341697,NA,Aquatic Insects,92,Family,Aeshnidae,NA,2,0.014,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA   NA   NA   NA","NA   NA   NA   NA"
1998-02-04T10:30:00Z,SHR,1998,W,TRUE,CLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,Regular,294066,341697,47631,47631,146.302759043659,146.302759043659,NA,Extapolated counts to 30 minutes ~341697,NA,Aquatic Insects,93,Family,Capniidae,NA,1,0.007,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA   NA   NA   NA","NA   NA   NA   NA"
1998-02-04T10:30:00Z,SHR,1998,W,TRUE,CLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,Regular,294066,341697,47631,47631,146.302759043659,146.302759043659,NA,Extapolated counts to 30 minutes ~341697,NA,Aquatic Non-Insects,11,Family,Gammaridae,NA,1,0.007,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA   NA   NA   NA","NA   NA   NA   NA"
1998-02-04T10:30:00Z,SHR,1998,W,TRUE,CLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,Regular,294066,341697,47631,47631,146.302759043659,146.302759043659,NA,Extapolated counts to 30 minutes ~341697,NA,Aquatic Non-Insects,77,Family,Hygrobatidae,NA,1,0.007,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA   NA   NA   NA","NA   NA   NA   NA"
1998-02-04T10:30:00Z,SHR,1998,W,TRUE,CLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,Regular,294066,341697,47631,47631,146.302759043659,146.302759043659,NA,Extapolated counts to 30 minutes ~341697,NA,Aquatic Non-Insects,4,Family,Naididae,NA,4,0.027,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA   NA   NA   NA","NA   NA   NA   NA"
1998-02-04T10:30:00Z,SHR,1998,W,TRUE,CLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,Regular,294066,341697,47631,47631,146.302759043659,146.302759043659,NA,Extapolated counts to 30 minutes ~341697,NA,Aquatic Non-Insects,4,Family,Naididae,NA,60,0.41,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA   NA   NA   NA","NA   NA   NA   NA"
1998-02-04T10:30:00Z,SHR,1998,W,TRUE,CLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,Regular,294066,341697,47631,47631,146.302759043659,146.302759043659,NA,Extapolated counts to 30 minutes ~341697,NA,Aquatic Insects,36,Family,Ephydridae,NA,1,0.007,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA   NA   NA   NA","NA   NA   NA   NA"
1998-02-04T10:30:00Z,SHR,1998,W,TRUE,CLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,Regular,294066,341697,47631,47631,146.302759043659,146.302759043659,NA,Extapolated counts to 30 minutes ~341697,NA,Aquatic Non-Insects,94,Family,Unionicolidae,NA,1,0.007,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA   NA   NA   NA","NA   NA   NA   NA"
1998-02-04T10:30:00Z,SHR,1998,W,TRUE,CLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,Regular,294066,341697,47631,47631,146.302759043659,146.302759043659,NA,Extapolated counts to 30 minutes ~341697,NA,Aquatic Non-Insects,19,Family,Corbiculidae,NA,1,0.007,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA   NA   NA   NA","NA   NA   NA   NA"
1998-02-04T10:30:00Z,SHR,1998,W,TRUE,CLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,Regular,294066,341697,47631,47631,146.302759043659,146.302759043659,NA,Extapolated counts to 30 minutes ~341697,NA,Terrestrial Non-Insects,61,Order,Isopoda,NA,1,0.007,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA   NA   NA   NA","NA   NA   NA   NA"
1998-02-04T10:30:00Z,SHR,1998,W,TRUE,CLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,Regular,294066,341697,47631,47631,146.302759043659,146.302759043659,NA,Extapolated counts to 30 minutes ~341697,NA,Aquatic Insects,40,Family,Caenidae,NA,7,0.048,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA   NA   NA   NA","NA   NA   NA   NA"
1998-02-04T10:30:00Z,SHR,1998,W,TRUE,CLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,Regular,294066,341697,47631,47631,146.302759043659,146.302759043659,NA,Extapolated counts to 30 minutes ~341697,NA,Aquatic Non-Insects,10,Family,Crangonyctidae,NA,3,0.021,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA   NA   NA   NA","NA   NA   NA   NA"
1998-02-04T10:30:00Z,SHR,1998,W,TRUE,CLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,Regular,294066,341697,47631,47631,146.302759043659,146.302759043659,NA,Extapolated counts to 30 minutes ~341697,NA,Terrestrial Non-Insects,57,Subclass,Acari,NA,4,0.027,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA   NA   NA   NA","NA   NA   NA   NA"
1998-02-04T10:30:00Z,SHR,1998,W,TRUE,CLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,Regular,294066,341697,47631,47631,146.302759043659,146.302759043659,NA,Extapolated counts to 30 minutes ~341697,NA,Aquatic Insects,38,Family,Simuliidae,NA,2,0.014,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA   NA   NA   NA","NA   NA   NA   NA"
1998-02-04T10:30:00Z,SHR,1998,W,TRUE,CLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,Regular,294066,341697,47631,47631,146.302759043659,146.302759043659,NA,Extapolated counts to 30 minutes ~341697,NA,Terrestrial Non-Insects,68,Order,Collembola,NA,14,0.096,0.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA   NA   NA   NA","NA   NA   NA   NA"
1998-02-04T10:30:00Z,SHR,1998,W,TRUE,CLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,Regular,294066,341697,47631,47631,146.302759043659,146.302759043659,NA,Extapolated counts to 30 minutes ~341697,NA,Terrestrial Insects,64,Order,Diptera,NA,1,0.007,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA   NA   NA   NA","NA   NA   NA   NA"
1998-02-04T10:30:00Z,SHR,1998,W,TRUE,CLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,Regular,294066,341697,47631,47631,146.302759043659,146.302759043659,NA,Extapolated counts to 30 minutes ~341697,NA,Terrestrial Insects,73,Order,Lepidoptera,NA,1,0.007,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA   NA   NA   NA","NA   NA   NA   NA"
1998-02-04T10:30:00Z,SHR,1998,W,TRUE,CLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,Regular,294066,341697,47631,47631,146.302759043659,146.302759043659,NA,Extapolated counts to 30 minutes ~341697,NA,Terrestrial Non-Insects,143,Order,Opiliones,NA,1,0.007,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA   NA   NA   NA","NA   NA   NA   NA"
1998-02-04T10:30:00Z,SHR,1998,W,TRUE,CLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,Regular,294066,341697,47631,47631,146.302759043659,146.302759043659,NA,Extapolated counts to 30 minutes ~341697,NA,Aquatic Non-Insects,91,Family,Erpobdellidae,NA,1,0.007,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA   NA   NA   NA","NA   NA   NA   NA"
